electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Georgia,Appling County,13001,6761,81,1560,19,89.0,2024-11-06T02:03:35.280000+0000
2024,Georgia,Atkinson County,13003,2350,77,700,23,99.0,2024-11-06T02:44:45.143000+0000
2024,Georgia,Bacon County,13005,4186,87,645,13,99.0,2024-11-08T23:31:50.130000+0000
2024,Georgia,Baker County,13007,883,60,590,40,99.0,2024-11-08T19:41:35.137000+0000
2024,Georgia,Baldwin County,13009,9574,51,9159,49,99.0,2024-11-08T23:31:50.773000+0000
2024,Georgia,Banks County,13011,9353,89,1136,11,99.0,2024-11-08T23:31:51.217000+0000
2024,Georgia,Barrow County,13013,30681,70,12927,30,99.0,2024-11-08T23:31:50.823000+0000
2024,Georgia,Bartow County,13015,43240,75,13929,24,99.0,2024-11-06T03:22:40.317000+0000
2024,Georgia,Ben Hill County,13017,4281,66,2198,34,95.0,2024-11-06T01:22:55.360000+0000
2024,Georgia,Berrien County,13019,6838,85,1209,15,99.0,2024-11-06T01:22:50.817000+0000
2024,Georgia,Bibb County,13021,26609,39,41970,61,99.0,2024-11-06T03:47:00.600000+0000
2024,Georgia,Bleckley County,13023,4685,78,1339,22,99.0,2024-11-06T01:11:10.130000+0000
2024,Georgia,Brantley County,13025,7741,91,736,9,99.0,2024-11-06T00:48:50.183000+0000
2024,Georgia,Brooks County,13027,4557,63,2628,36,99.0,2024-11-06T05:48:20.097000+0000
2024,Georgia,Bryan County,13029,16725,68,7769,32,99.0,2024-11-06T05:45:50.147000+0000
2024,Georgia,Bulloch County,13031,20960,64,11494,35,99.0,2024-11-06T04:14:56.040000+0000
2024,Georgia,Burke County,13033,6014,55,4979,45,95.0,2024-11-06T05:45:40.353000+0000
2024,Georgia,Butts County,13035,9424,72,3544,27,99.0,2024-11-06T01:22:50.790000+0000
2024,Georgia,Calhoun County,13037,900,44,1153,56,99.0,2024-11-07T20:42:35.093000+0000
2024,Georgia,Camden County,13039,17805,67,8400,32,99.0,2024-11-06T02:30:05.257000+0000
2024,Georgia,Candler County,13043,3366,74,1196,26,99.0,2024-11-06T00:54:56.243000+0000
2024,Georgia,Carroll County,13045,42538,70,17622,29,95.0,2024-11-06T06:41:40.110000+0000
2024,Georgia,Catoosa County,13047,27150,78,7704,22,99.0,2024-11-08T23:31:50.457000+0000
2024,Georgia,Charlton County,13049,3607,78,1007,22,99.0,2024-11-08T15:40:45.103000+0000
2024,Georgia,Chatham County,13051,57284,41,82636,59,95.0,2024-11-07T19:49:45.110000+0000
2024,Georgia,Chattahoochee County,13053,982,58,703,42,99.0,2024-11-06T03:21:56.843000+0000
2024,Georgia,Chattooga County,13055,8768,82,1896,18,99.0,2024-11-06T21:29:00.333000+0000
2024,Georgia,Cherokee County,13057,112075,69,48785,30,99.0,2024-11-06T02:29:40.770000+0000
2024,Georgia,Clarke County,13059,16008,30,36042,69,99.0,2024-11-06T04:30:00.217000+0000
2024,Georgia,Clay County,13061,663,46,771,53,99.0,2024-11-06T03:37:50.123000+0000
2024,Georgia,Clayton County,13063,16854,15,94092,84,99.0,2024-11-08T23:31:51.150000+0000
2024,Georgia,Clinch County,13065,2201,76,702,24,99.0,2024-11-06T05:46:40.127000+0000
2024,Georgia,Cobb County,13067,168286,42,227640,57,99.0,2024-11-06T21:29:00.173000+0000
2024,Georgia,Coffee County,13069,11370,73,4285,27,99.0,2024-11-06T03:05:00.987000+0000
2024,Georgia,Colquitt County,13071,12445,75,4110,25,99.0,2024-11-06T02:20:55.423000+0000
2024,Georgia,Columbia County,13073,53610,63,31582,37,99.0,2024-11-06T21:29:00.190000+0000
2024,Georgia,Cook County,13075,5374,73,1956,27,99.0,2024-11-08T23:31:51.340000+0000
2024,Georgia,Coweta County,13077,57180,66,28096,33,99.0,2024-11-06T04:35:00.117000+0000
2024,Georgia,Crawford County,13079,4742,75,1582,25,99.0,2024-11-08T23:31:51.350000+0000
2024,Georgia,Crisp County,13081,5098,63,2993,37,99.0,2024-11-08T19:41:40.100000+0000
2024,Georgia,Dade County,13083,6794,83,1342,16,99.0,2024-11-06T02:47:55.123000+0000
2024,Georgia,Dawson County,13085,16115,82,3350,17,99.0,2024-11-08T23:31:50.990000+0000
2024,Georgia,Decatur County,13087,7136,62,4367,38,96.0,2024-11-08T23:31:51.077000+0000
2024,Georgia,DeKalb County,13089,62482,17,299039,82,99.0,2024-11-06T07:09:45.353000+0000
2024,Georgia,Dodge County,13091,6245,75,2078,25,99.0,2024-11-06T02:15:05.310000+0000
2024,Georgia,Dooly County,13093,2243,54,1921,46,99.0,2024-11-08T20:50:40.223000+0000
2024,Georgia,Dougherty County,13095,9893,29,23795,70,99.0,2024-11-06T04:14:56.020000+0000
2024,Georgia,Douglas County,13097,23996,34,46240,65,99.0,2024-11-08T23:31:51.177000+0000
2024,Georgia,Early County,13099,2718,56,2157,44,99.0,2024-11-06T20:31:40.110000+0000
2024,Georgia,Echols County,13101,1307,91,127,9,99.0,2024-11-06T01:43:55.350000+0000
